t,score,true_label,status,CPU / Load,Memory,Disk,Network
0,0.4376,0,NORMAL,19.2,9.7,28.4,8.5
1,0.4575,0,NORMAL,19.3,10.6,28.5,8.5
2,0.4235,0,NORMAL,19.0,10.6,28.8,8.0
3,0.4288,0,NORMAL,18.6,9.3,28.1,8.5
4,0.3856,0,NORMAL,18.5,11.6,28.1,8.0
5,0.3496,0,NORMAL,18.8,11.0,28.6,8.1
6,0.5304,0,NORMAL,18.5,9.9,28.2,8.7
7,0.442,0,NORMAL,18.5,9.8,28.2,8.3
8,0.4108,0,NORMAL,18.6,10.8,28.6,7.9
9,0.427,0,NORMAL,18.3,11.4,27.9,8.7
10,0.3931,0,NORMAL,17.9,9.2,28.5,8.3
11,0.4034,0,NORMAL,17.9,10.6,27.8,8.8
12,0.3681,0,NORMAL,18.0,10.7,28.4,7.7
13,0.3921,0,NORMAL,18.3,9.7,28.2,8.5
14,0.3855,0,NORMAL,18.0,10.5,28.4,8.6
15,0.2899,0,NORMAL,18.1,10.8,27.8,8.0
16,0.5967,0,WARNING,18.7,10.7,29.2,9.4
17,0.4979,0,NORMAL,18.2,9.9,28.4,8.9
18,0.4565,0,NORMAL,18.7,10.6,28.8,8.3
19,0.4641,0,NORMAL,19.0,11.6,28.3,9.0
20,0.4446,0,NORMAL,18.9,11.1,28.8,8.6
21,1.0,0,ANOMALY,18.3,10.6,28.4,30.1
22,0.4199,0,NORMAL,18.2,10.8,28.9,9.4
23,0.4376,0,NORMAL,18.1,10.8,28.6,9.1
24,0.4324,0,NORMAL,17.8,9.8,28.0,8.7
25,0.3632,0,NORMAL,18.3,11.2,28.2,8.8
26,0.584,0,NORMAL,18.4,10.6,28.4,9.5
27,0.5033,0,NORMAL,18.5,9.9,28.2,8.7
28,0.4624,0,NORMAL,18.4,10.6,28.6,8.5
29,0.469,0,NORMAL,18.5,10.9,28.0,8.8
30,0.4376,0,NORMAL,18.5,9.8,28.0,8.7
31,0.4747,0,NORMAL,18.2,11.3,28.7,8.8
32,0.4462,0,NORMAL,18.4,10.7,28.3,8.6
33,0.482,0,NORMAL,19.3,11.2,28.5,9.4
34,0.464,0,NORMAL,18.5,9.3,28.5,8.2
35,0.3709,0,NORMAL,18.7,10.7,28.8,8.1
36,0.5979,0,WARNING,19.3,10.8,28.9,9.2
37,0.5125,0,NORMAL,19.0,11.2,28.6,8.8
38,0.4497,0,NORMAL,18.9,9.5,28.8,8.3
39,0.4566,0,NORMAL,18.6,10.2,28.4,8.9
40,0.4377,0,NORMAL,18.9,11.2,28.5,8.4
41,0.4359,0,NORMAL,18.7,10.2,29.0,8.5
42,0.3941,0,NORMAL,18.0,10.4,27.9,8.3
43,0.4063,0,NORMAL,18.0,10.7,28.2,8.4
44,0.4034,0,NORMAL,17.8,9.6,28.5,8.1
45,0.3431,0,NORMAL,17.8,10.8,28.0,8.1
46,0.5601,0,NORMAL,18.1,10.2,28.2,9.0
47,0.4756,0,NORMAL,18.2,9.7,28.8,9.1
48,0.4471,0,NORMAL,17.8,11.1,28.0,8.8
49,0.4632,0,NORMAL,18.1,11.4,28.2,8.8
50,0.4376,0,NORMAL,17.8,10.1,28.4,8.5
51,0.469,0,NORMAL,17.9,9.4,28.2,8.4
52,0.4506,0,NORMAL,18.2,10.8,28.7,8.5
53,0.4665,0,NORMAL,18.1,10.6,28.5,8.7
54,0.4666,0,NORMAL,18.0,9.4,28.4,8.9
55,0.3788,0,NORMAL,18.1,10.4,28.7,8.7
56,0.5531,0,NORMAL,18.3,10.4,28.4,8.9
57,0.4796,0,NORMAL,18.0,10.5,28.9,8.6
58,0.4673,0,NORMAL,18.0,10.0,28.2,8.8
59,0.4756,0,NORMAL,18.2,11.1,28.7,9.2
60,0.4607,0,NORMAL,17.6,10.3,28.0,9.2
61,0.4972,0,NORMAL,18.7,10.7,29.0,8.9
62,0.4531,0,NORMAL,18.7,10.9,28.3,8.5
63,0.4632,0,NORMAL,19.2,10.5,28.5,8.8
64,0.4428,0,NORMAL,19.1,9.6,28.2,8.6
65,0.4194,0,NORMAL,19.0,10.9,28.5,8.7
66,0.5532,0,NORMAL,18.5,11.5,28.0,9.1
67,0.4715,0,NORMAL,18.2,9.4,28.5,8.7
68,0.4189,0,NORMAL,18.5,11.2,28.0,8.2
69,0.454,0,NORMAL,18.1,10.3,28.0,8.6
70,0.394,0,NORMAL,18.5,10.5,28.5,8.4
71,0.4598,0,NORMAL,18.1,10.0,28.1,8.5
72,0.3959,0,NORMAL,18.0,9.9,28.3,8.2
73,0.434,0,NORMAL,18.3,9.6,28.1,8.7
74,0.3709,0,NORMAL,18.0,10.6,27.6,7.9
75,0.2856,0,NORMAL,17.8,10.0,28.0,8.1
76,0.5446,0,NORMAL,17.8,10.1,27.8,8.9
77,0.4581,0,NORMAL,17.9,9.3,28.0,8.3
78,0.4188,0,NORMAL,18.3,11.6,28.5,8.5
79,0.4304,0,NORMAL,18.2,10.3,28.0,8.5
80,0.3854,0,NORMAL,17.6,9.8,27.4,8.5
81,0.3986,0,NORMAL,17.8,10.4,28.1,8.5
82,0.3911,0,NORMAL,17.6,10.0,28.4,7.9
83,0.4251,0,NORMAL,17.6,9.6,28.1,8.3
84,0.3777,0,NORMAL,17.5,10.4,27.9,8.8
